"Attribute__c","CDC_Ext_ID__c","Flag__c","Name","Numval1__c","Numval2__c","Text1Val__c","Text2Val__c","Text3Val__c","Text4Val__c","Text5Val__c","Text6Val__c","Text__c","Value__c"
"PRDLIN","","","a4r8A0000013MfR","","","Groth","","","","","","FGBGR",""
"PRDLIN","","","a4r8A0000013MfW","","","LVA","","","","","","FGLVABGR",""
"TAGSPRGRANGE","","","a4r8A0000012R3E","6.5","11.1001","3011HP","01","psid","","","","0.23 to 0.40 psid",""
"TAGSPRGRANGE","","","a4r8A0000012R3F","6.5","11.1001","3011HP","01","psig","","","","0.23 to 0.40 psig",""
"TAGSPRGRANGE","","","a4r8A0000012R3G","6.5","11.1001","3011HP","01","torr","","","","12 to 21 torr",""
"TAGSPRGRANGE","","","a4r8A0000012R3H","11.1001","18.6001","3011HP","01","atm abs.","","","","1.027 to 1.046 atm abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3I","11.1001","18.6001","3011HP","01","atmg","","","","0.027 to 0.046 atmg",""
"TAGSPRGRANGE","","","a4r8A0000012R3J","11.1001","18.6001","3011HP","01","bar abs.","","","","1.041 to 1.060 bar abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3K","11.1001","18.6001","3011HP","01","bard","","","","0.028 to 0.046 bard",""
"TAGSPRGRANGE","","","a4r8A0000012R3L","11.1001","18.6001","3011HP","01","barg","","","","0.028 to 0.046 barg",""
"TAGSPRGRANGE","","","a4r8A0000012R3M","11.1001","18.6001","3011HP","01","gf/cm2","","","","28 to 47 gf/cm2",""
"TAGSPRGRANGE","","","a4r8A0000012R3N","11.1001","18.6001","3011HP","01","in. Hg","","","","0.81 to 1.4 in. Hg",""
"TAGSPRGRANGE","","","a4r8A0000012R3O","11.1001","18.6001","3011HP","01","in. water","","","","11.1 to 18.6 INWC",""
"TAGSPRGRANGE","","","a4r8A0000012R3P","11.1001","18.6001","3011HP","01","kgf/cm2","","","","0.028 to 0.047 kgf/cm2",""
"TAGSPRGRANGE","","","a4r8A0000012R3Q","11.1001","18.6001","3011HP","01","kgf/cm2 abs.","","","","1.061 to 1.080 kgf/cm2 abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3R","11.1001","18.6001","3011HP","01","kPa","","","","2.7 to 4.6 kPa",""
"TAGSPRGRANGE","","","a4r8A0000012R3S","11.1001","18.6001","3011HP","01","kPa abs.","","","","104.1 to 105.9 kPa abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3T","11.1001","18.6001","3011HP","01","mbar abs.","","","","1,041 to 1,059 mbar abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3U","11.1001","18.6001","3011HP","01","mbarg","","","","28 to 46 mbarg",""
"TAGSPRGRANGE","","","a4r8A0000012R3V","11.1001","18.6001","3011HP","01","mm Hg","","","","21 to 35 mm Hg",""
"TAGSPRGRANGE","","","a4r8A0000012R3W","11.1001","18.6001","3011HP","01","mm water","","","","280 to 470 mm water",""
"TAGSPRGRANGE","","","a4r8A0000012R3X","11.1001","18.6001","3011HP","01","MPa","","","","0.0028 to 0.0046 MPa",""
"TAGSPRGRANGE","","","a4r8A0000012R3Y","11.1001","18.6001","3011HP","01","MPa abs.","","","","0.1041 to 0.1060 MPa abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3Z","11.1001","18.6001","3011HP","01","osig","","","","6.4 to 11 osig",""
"TAGSPRGRANGE","","","a4r8A0000012R3a","11.1001","18.6001","3011HP","01","Pa","","","","2,700 to 4,600 Pa",""
"TAGSPRGRANGE","","","a4r8A0000012R3b","11.1001","18.6001","3011HP","01","psia","","","","15 to 15 psia",""
"TAGSPRGRANGE","","","a4r8A0000012R3c","11.1001","18.6001","3011HP","01","psid","","","","0.40 to 0.67 psid",""
"TAGSPRGRANGE","","","a4r8A0000012R3d","11.1001","18.6001","3011HP","01","psig","","","","0.40 to 0.67 psig",""
"TAGSPRGRANGE","","","a4r8A0000012R3e","11.1001","18.6001","3011HP","01","torr","","","","21 to 35 torr",""
"TAGSPRGRANGE","","","a4r8A0000012R3f","18.6001","27.68","3011HP","01","atm abs.","","","","1.046 to 1.068 atm abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3g","18.6001","27.68","3011HP","01","atmg","","","","0.046 to 0.068 atmg",""
"TAGSPRGRANGE","","","a4r8A0000012R3h","18.6001","27.68","3011HP","01","bar abs.","","","","1.060 to 1.082 bar abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3i","18.6001","27.68","3011HP","01","bard","","","","0.046 to 0.069 bard",""
"TAGSPRGRANGE","","","a4r8A0000012R3j","18.6001","27.68","3011HP","01","barg","","","","0.046 to 0.069 barg",""
"TAGSPRGRANGE","","","a4r8A0000012R3k","18.6001","27.68","3011HP","01","gf/cm2","","","","47 to 70 gf/cm2",""
"TAGSPRGRANGE","","","a4r8A0000012R3l","18.6001","27.68","3011HP","01","in. Hg","","","","1.4 to 2.0 in. Hg",""
"TAGSPRGRANGE","","","a4r8A0000012R3m","18.6001","27.68","3011HP","01","in. water","","","","18.6 to 27.7 INWC",""
"TAGSPRGRANGE","","","a4r8A0000012R3n","18.6001","27.68","3011HP","01","kgf/cm2","","","","0.047 to 0.070 kgf/cm2",""
"TAGSPRGRANGE","","","a4r8A0000012R3o","18.6001","27.68","3011HP","01","kgf/cm2 abs.","","","","1.080 to 1.10 kgf/cm2 abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3p","18.6001","27.68","3011HP","01","kPa","","","","4.6 to 6.9 kPa",""
"TAGSPRGRANGE","","","a4r8A0000012R3q","18.6001","27.68","3011HP","01","kPa abs.","","","","105.9 to 108.2 kPa abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3r","18.6001","27.68","3011HP","01","mbar abs.","","","","1,059 to 1,082 mbar abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3s","18.6001","27.68","3011HP","01","mbarg","","","","46 to 69 mbarg",""
"TAGSPRGRANGE","","","a4r8A0000012R3t","18.6001","27.68","3011HP","01","mm Hg","","","","35 to 52 mm Hg",""
"TAGSPRGRANGE","","","a4r8A0000012R3u","18.6001","27.68","3011HP","01","mm water","","","","470 to 700 mm water",""
"TAGSPRGRANGE","","","a4r8A0000012R3v","18.6001","27.68","3011HP","01","MPa","","","","0.0046 to 0.0069 MPa",""
"TAGSPRGRANGE","","","a4r8A0000012R3w","18.6001","27.68","3011HP","01","MPa abs.","","","","0.1060 to 0.1082 MPa abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R3x","18.6001","27.68","3011HP","01","osig","","","","11 to 16 osig",""
"TAGSPRGRANGE","","","a4r8A0000012R3y","18.6001","27.68","3011HP","01","Pa","","","","4,600 to 6,900 Pa",""
"TAGSPRGRANGE","","","a4r8A0000012R3z","18.6001","27.68","3011HP","01","psia","","","","15 to 16 psia",""
"TAGSPRGRANGE","","","a4r8A0000012R40","18.6001","27.68","3011HP","01","psid","","","","0.67 to 1.0 psid",""
"TAGSPRGRANGE","","","a4r8A0000012R41","18.6001","27.68","3011HP","01","psig","","","","0.67 to 1.0 psig",""
"TAGSPRGRANGE","","","a4r8A0000012R42","18.6001","27.68","3011HP","01","torr","","","","35 to 52 torr",""
"TAGSPRGRANGE","","","a4r8A0000012R43","27.68","38.1983","3011HP","01","atm abs.","","","","1.068 to 1.094 atm abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R44","27.68","38.1983","3011HP","01","atmg","","","","0.068 to 0.094 atmg",""
"TAGSPRGRANGE","","","a4r8A0000012R45","27.68","38.1983","3011HP","01","bar abs.","","","","1.082 to 1.11 bar abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R46","27.68","38.1983","3011HP","01","bard","","","","0.069 to 0.095 bard",""
"TAGSPRGRANGE","","","a4r8A0000012R47","27.68","38.1983","3011HP","01","barg","","","","0.069 to 0.095 barg",""
"TAGSPRGRANGE","","","a4r8A0000012R48","27.68","38.1983","3011HP","01","gf/cm2","","","","70 to 97 gf/cm2",""
"TAGSPRGRANGE","","","a4r8A0000012R49","27.68","38.1983","3011HP","01","in. Hg","","","","2.0 to 2.8 in. Hg",""
"TAGSPRGRANGE","","","a4r8A0000012R4A","27.68","38.1983","3011HP","01","in. water","","","","28 to 38 INWC",""
"TAGSPRGRANGE","","","a4r8A0000012R4B","27.68","38.1983","3011HP","01","kgf/cm2","","","","0.070 to 0.097 kgf/cm2",""
"TAGSPRGRANGE","","","a4r8A0000012R4C","27.68","38.1983","3011HP","01","kgf/cm2 abs.","","","","1.10 to 1.13 kgf/cm2 abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4D","27.68","38.1983","3011HP","01","kPa","","","","6.9 to 9.5 kPa",""
"TAGSPRGRANGE","","","a4r8A0000012R4E","27.68","38.1983","3011HP","01","kPa abs.","","","","108.2 to 110.8 kPa abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4F","27.68","38.1983","3011HP","01","mbar abs.","","","","1,082 to 1,108 mbar abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4G","27.68","38.1983","3011HP","01","mbarg","","","","69 to 95 mbarg",""
"TAGSPRGRANGE","","","a4r8A0000012R4H","27.68","38.1983","3011HP","01","mm Hg","","","","52 to 71 mm Hg",""
"TAGSPRGRANGE","","","a4r8A0000012R4I","27.68","38.1983","3011HP","01","mm water","","","","700 to 970 mm water",""
"TAGSPRGRANGE","","","a4r8A0000012R4J","27.68","38.1983","3011HP","01","MPa","","","","0.0069 to 0.0095 MPa",""
"TAGSPRGRANGE","","","a4r8A0000012R4K","27.68","38.1983","3011HP","01","MPa abs.","","","","0.1082 to 0.1108 MPa abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4L","27.68","38.1983","3011HP","01","osig","","","","16 to 22 osig",""
"TAGSPRGRANGE","","","a4r8A0000012R4M","27.68","38.1983","3011HP","01","Pa","","","","6,900 to 9,500 Pa",""
"TAGSPRGRANGE","","","a4r8A0000012R4N","27.68","38.1983","3011HP","01","psia","","","","16 to 16 psia",""
"TAGSPRGRANGE","","","a4r8A0000012R4O","27.68","38.1983","3011HP","01","psid","","","","1.0 to 1.4 psid",""
"TAGSPRGRANGE","","","a4r8A0000012R4P","27.68","38.1983","3011HP","01","psig","","","","1.0 to 1.4 psig",""
"TAGSPRGRANGE","","","a4r8A0000012R4Q","27.68","38.1983","3011HP","01","torr","","","","52 to 71 torr",""
"TAGSPRGRANGE","","","a4r8A0000012R4R","38.1983","55.3599","3011HP","01","atm abs.","","","","1.094 to 1.14 atm abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4S","38.1983","55.3599","3011HP","01","atmg","","","","0.094 to 0.14 atmg",""
"TAGSPRGRANGE","","","a4r8A0000012R4T","38.1983","55.3599","3011HP","01","bar abs.","","","","1.11 to 1.15 bar abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4U","38.1983","55.3599","3011HP","01","bard","","","","0.095 to 0.14 bard",""
"TAGSPRGRANGE","","","a4r8A0000012R4V","38.1983","55.3599","3011HP","01","barg","","","","0.095 to 0.14 barg",""
"TAGSPRGRANGE","","","a4r8A0000012R4W","38.1983","55.3599","3011HP","01","gf/cm2","","","","97 to 140 gf/cm2",""
"TAGSPRGRANGE","","","a4r8A0000012R4X","38.1983","55.3599","3011HP","01","in. Hg","","","","2.8 to 4.1 in. Hg",""
"TAGSPRGRANGE","","","a4r8A0000012R4Y","38.1983","55.3599","3011HP","01","in. water","","","","38 to 55 INWC",""
"TAGSPRGRANGE","","","a4r8A0000012R4Z","38.1983","55.3599","3011HP","01","kgf/cm2","","","","0.097 to 0.14 kgf/cm2",""
"TAGSPRGRANGE","","","a4r8A0000012R4a","38.1983","55.3599","3011HP","01","kgf/cm2 abs.","","","","1.13 to 1.17 kgf/cm2 abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4b","38.1983","55.3599","3011HP","01","kPa","","","","9.5 to 14 kPa",""
"TAGSPRGRANGE","","","a4r8A0000012R4c","38.1983","55.3599","3011HP","01","kPa abs.","","","","110.8 to 115 kPa abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4d","38.1983","55.3599","3011HP","01","mbar abs.","","","","1,108 to 1,151 mbar abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4e","38.1983","55.3599","3011HP","01","mbarg","","","","95 to 140 mbarg",""
"TAGSPRGRANGE","","","a4r8A0000012R4f","38.1983","55.3599","3011HP","01","mm Hg","","","","71 to 100 mm Hg",""
"TAGSPRGRANGE","","","a4r8A0000012R4g","38.1983","55.3599","3011HP","01","mm water","","","","970 to 1,400 mm water",""
"TAGSPRGRANGE","","","a4r8A0000012R4h","38.1983","55.3599","3011HP","01","MPa","","","","0.0095 to 0.014 MPa",""
"TAGSPRGRANGE","","","a4r8A0000012R4i","38.1983","55.3599","3011HP","01","MPa abs.","","","","0.1108 to 0.115 MPa abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4j","38.1983","55.3599","3011HP","01","osig","","","","22 to 32 osig",""
"TAGSPRGRANGE","","","a4r8A0000012R4k","38.1983","55.3599","3011HP","01","Pa","","","","9,500 to 14,000 Pa",""
"TAGSPRGRANGE","","","a4r8A0000012R4l","38.1983","55.3599","3011HP","01","psia","","","","16 to 17 psia",""
"TAGSPRGRANGE","","","a4r8A0000012R4m","38.1983","55.3599","3011HP","01","psid","","","","1.4 to 2.0 psid",""
"TAGSPRGRANGE","","","a4r8A0000012R4n","38.1983","55.3599","3011HP","01","psig","","","","1.4 to 2.0 psig",""
"TAGSPRGRANGE","","","a4r8A0000012R4o","38.1983","55.3599","3011HP","01","torr","","","","71 to 100 torr",""
"TAGSPRGRANGE","","","a4r8A0000012R4p","0.5","0.8001","3011L","01","atm abs.","","","","1.0012 to 1.0020 atm abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4q","0.5","0.8001","3011L","01","atmg","","","","0.0012 to 0.0020 atmg",""
"TAGSPRGRANGE","","","a4r8A0000012R4r","0.5","0.8001","3011L","01","bar abs.","","","","1.014 to 1.015 bar abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4s","0.5","0.8001","3011L","01","bard","","","","0.0012 to 0.0020 bard",""
"TAGSPRGRANGE","","","a4r8A0000012R4t","0.5","0.8001","3011L","01","barg","","","","0.0012 to 0.0020 barg",""
"TAGSPRGRANGE","","","a4r8A0000012R4u","0.5","0.8001","3011L","01","gf/cm2","","","","1.3 to 2.0 gf/cm2",""
"TAGSPRGRANGE","","","a4r8A0000012R4v","0.5","0.8001","3011L","01","in. Hg","","","","0.037 to 0.059 in. Hg",""
"TAGSPRGRANGE","","","a4r8A0000012R4w","0.5","0.8001","3011L","01","in. water","","","","0.50 to 0.80 INWC",""
"TAGSPRGRANGE","","","a4r8A0000012R4x","0.5","0.8001","3011L","01","kgf/cm2","","","","0.0013 to 0.0020 kgf/cm2",""
"TAGSPRGRANGE","","","a4r8A0000012R4y","0.5","0.8001","3011L","01","kgf/cm2 abs.","","","","1.035 to 1.035 kgf/cm2 abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R4z","0.5","0.8001","3011L","01","kPa","","","","0.12 to 0.20 kPa",""
"TAGSPRGRANGE","","","a4r8A0000012R50","0.5","0.8001","3011L","01","kPa abs.","","","","101.45 to 101.52 kPa abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R51","0.5","0.8001","3011L","01","mbar abs.","","","","1,014.5 to 1,015.2 mbar abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R52","0.5","0.8001","3011L","01","mbarg","","","","1.2 to 2.0 mbarg",""
"TAGSPRGRANGE","","","a4r8A0000012R53","0.5","0.8001","3011L","01","mm Hg","","","","0.93 to 1.5 mm Hg",""
"TAGSPRGRANGE","","","a4r8A0000012R54","0.5","0.8001","3011L","01","mm water","","","","13 to 20 mm water",""
"TAGSPRGRANGE","","","a4r8A0000012R55","0.5","0.8001","3011L","01","MPa","","","","0.00012 to 0.00020 MPa",""
"TAGSPRGRANGE","","","a4r8A0000012R56","0.5","0.8001","3011L","01","MPa abs.","","","","0.10145 to 0.10152 MPa abs.",""
"TAGSPRGRANGE","","","a4r8A0000012R57","0.5","0.8001","3011L","01","osig","","","","0.29 to 0.46 osig",""
"TAGSPRGRANGE","","","a4r8A0000012R58","0.5","0.8001","3011L","01","Pa","","","","120 to 200 Pa",""
"TAGSPRGRANGE","","","a4r8A0000012R59","0.5","0.8001","3011L","01","psia","","","","15 to 15 psia",""
"TAGSPRGRANGE","","","a4r8A0000012R5A","0.5","0.8001","3011L","01","psid","","","","0.018 to 0.029 psid",""
"TAGSPRGRANGE","","","a4r8A0000012R1x","1.7001","3.0001","3011H","05","mm Hg","","","","3.2 to 5.6 mm Hg",""
