"Attribute__c","CDC_Ext_ID__c","Flag__c","Name","Num1__c","Num2__c","NumOpp1__c","NumOpp2__c","Text1__c","Text2__c","Text3__c","Text4__c","Text5__c","Text6__c","TextOpp1__c","TextOpp2__c","TextOpp3__c","TextOpp4__c","TextOpp5__c","TextOpp6__c"
"ASSEMBLYWT","","","a4q8A000000VZmf","","","","","","","","","","","","","","","",""
"ASSEMBLYWTUOM","","","a4q8A000000VZmg","","","","","","","","","","","","","","","",""
"ASYTYP","","","a4q8A000000VZmh","","","","","","","","","","","","","","","",""
"ATMPRESPSIA","","","a4q8A000000VZmi","","","","","","","","","","","","","","","",""
"ATTRTEMPLATE","","","a4q8A000000VZmj","","","","","","","","","","","","","","","",""
"BRANDCODE","","","a4q8A000000VZmk","","","","","BRAND","","","","","","=","","","","",""
"COMPDESCRIPTION","","","a4q8A000000VZml","","","","","","","","","","","","","","","",""
"COMPINVSERTRK","","","a4q8A000000VZmm","","","","","","","","","","","","","","","",""
"COMPLOTTRACK","","","a4q8A000000VZmn","","","","","","","","","","","","","","","",""
"COMPPROVIDE","","","a4q8A000000VZmo","","","","","","","","","","","","","","","",""
"COMPRESPONID","","","a4q8A000000VZmp","","","","","","","","","","","","","","","",""
"CONSTACTTST","","","a4q8A000000VZmq","","","","","","","","","","","","","","","",""
"CONSTBDYTST","","","a4q8A000000VZmr","","","","","","","","","","","","","","","",""
"CUSTOMSTATNO","","","a4q8A000000VZms","","","","","","","","","","","","","","","",""
"GTAGPN","","","a4q8A000000VZmt","","","","","BRAND","PTC","ATEX","CUTR","","","=","=","=","=","",""
"HSNSACCODE","","","a4q8A000000VZmu","","","","","","","","","","","","","","","",""
"IINO","","","a4q8A000000VZmv","","","","","BRAND","PTC","ATEX","CUTR","","","=","=","=","=","",""
"LOTTRACKCODE","","","a4q8A000000VZmw","","","","","","","","","","","","","","","",""
"OA02","","","a4q8A000000VZmx","","","","","BRAND","","","","","","=","","","","",""
"OA04","","","a4q8A000000VZmy","","","","","SZC","HCLASS","","","","","=","=","","","",""
"OB010","","","a4q8A000000VZmz","","","","","MCBODY","","","","","","=","","","","",""
"OB050","","","a4q8A000000VZn0","","","","","MCDPHM","","","","","","=","","","","",""
"OB310","","","a4q8A000000VZn1","","","","","","","","","","","","","","","",""
"OB320","","","a4q8A000000VZn2","","","","","SHLTSTMETHBDY","","","","","","=","","","","",""
"OB410","","","a4q8A000000VZn3","","","","","PTC","","","","","","=","","","","",""
"OB420","","","a4q8A000000VZn4","","","","","PTC","SHLTSTMETHACT","","","","","=","=","","","",""
"OW210","","","a4q8A000000VZn5","","","","","ATEX","","","","","","=","","","","",""
