"Attribute_Type__c","Attribute__c","CDC_Ext_ID__c","Name","Order_Sequence__c","Text1Val__c","Text2Val__c","Text3Val__c","Text4Val__c","Text5Val__c","Text6Val__c","Text__c"
"OB","OB050","555241","a7J8A000000MCUU","50.0","004","0A8","F","BH2^BH3^BH4^BH5^BH6^BH7^BH8^BH9^BL1^BL2^BL3^BL4^BL5^BL6^BL7^BL8^BL9^BX2^BX3^BX4^BX5^BX6^BX7^BX8^BX9^CSS^CVI^CVS^FFI^FRA^FS2^FS3^FSS^H7D^H7I^HPR^HXD^HXI^HXP^HXR^KBI^L7D^L7I^LFI^LH2^LH3^LH5^LH6^LID^LIH^LIL^LIL^LL1^LL2^LL3^LL4^LL5^LL6^LL7^LL8^LL9","","","Nickel Flat Outlet - 3/8"" FPT - Small Groove Facing"
"OB","OB150","555242","a7J8A000000MZmc","150.0","051","0I8","W","","","","304 SS Welded Inlet - Eyebolt Drilling - J-Hook - Tantalum Inlet Coating"
"OB","OB050","555243","a7J8A000000NINS","50.0","043","0H3","F","LW2^LW3^LW5^LW6^LX2^LX3^LX5^LX6^LXI^M9D^M9I^M9R^MXD^MXI^POI^POS^RCD^RCI^RCP^RHD^RHI^SCS^SST^STC^STI^STL^UF2^UF3^UF5^UF6^UH2^UH3^UH5^UH6^UL2^UL3^UL5^UL6^UND^UNI^UNI^UXD^UXI^VFC^VFR^VFS^VRI^ZPI^ZWI^","","","Graphite Flat Outlet -1/4"" FPT-CGF - Eyebolt Drilling"
"OB","OB050","555244","a7J8A000000MhNS","50.0","004","AD3","E","BH2^BH3^BH4^BH5^BH6^BH7^BH8^BH9^BL1^BL2^BL3^BL4^BL5^BL6^BL7^BL8^BL9^BX2^BX3^BX4^BX5^BX6^BX7^BX8^BX9^CSS^CVI^CVS^FFI^FRA^FS2^FS3^FSS^H7D^H7I^HPR^HXD^HXI^HXP^HXR^KBI^L7D^L7I^LFI^LH2^LH3^LH5^LH6^LID^LIH^LIL^LIL^LL1^LL2^LL3^LL4^LL5^LL6^LL7^LL8^LL9","","","Nickel Free Outlet -1/4"" FPT - Concentric Groove Facing\n316 SS Knifeblade"
"OB","OB050","555245","a7J8A000000NJzt","50.0","051","066","2","LW2^LW3^LW5^LW6^LX2^LX3^LX5^LX6^LXI^M9D^M9I^M9R^MXD^MXI^POI^POS^RCD^RCI^RCP^RHD^RHI^SCS^SST^STC^STI^STL^UF2^UF3^UF5^UF6^UH2^UH3^UH5^UH6^UL2^UL3^UL5^UL6^UND^UNI^UNI^UXD^UXI^VFC^VFR^VFS^VRI^ZPI^ZWI^","","","304 SS 1/4 MPT Outlet- J-Hook - Concentric Groove Facing"
"OA","OA02","555246","a7J8A000000MzCJ","2.0","BL4","0200","A1","T","T","Metric","With 150# ASME Bolting"
"OB","OB050","555247","a7J8A000000NOjB","50.0","006","A11","A","LW2^LW3^LW5^LW6^LX2^LX3^LX5^LX6^LXI^M9D^M9I^M9R^MXD^MXI^POI^POS^RCD^RCI^RCP^RHD^RHI^SCS^SST^STC^STI^STL^UF2^UF3^UF5^UF6^UH2^UH3^UH5^UH6^UL2^UL3^UL5^UL6^UND^UNI^UNI^UXD^UXI^VFC^VFR^VFS^VRI^ZPI^ZWI^","","","Alloy B 1/4 FPT Outlet- Fluoropolymer Coating\n316 SS Outlet Knifeblade"
"OB","OB050","555248","a7J8A000000Mizt","50.0","043","B09","Z","BH2^BH3^BH4^BH5^BH6^BH7^BH8^BH9^BL1^BL2^BL3^BL4^BL5^BL6^BL7^BL8^BL9^BX2^BX3^BX4^BX5^BX6^BX7^BX8^BX9^CSS^CVI^CVS^FFI^FRA^FS2^FS3^FSS^H7D^H7I^HPR^HXD^HXI^HXP^HXR^KBI^L7D^L7I^LFI^LH2^LH3^LH5^LH6^LID^LIH^LIL^LIL^LL1^LL2^LL3^LL4^LL5^LL6^LL7^LL8^LL9","","","Graphite 1/2 BSPP Outlet- Fluoropolymer Coating - J-Hook\nAlloy C276 Outlet Knifeblade"
"OB","OB150","555249","a7J8A000000MnjB","150.0","051","C00","U","","","","304 SS 7/16-20 SAE Inlet"
"OB","OB050","555250","a7J8A000000NPJa","50.0","052","A00","T","LW2^LW3^LW5^LW6^LX2^LX3^LX5^LX6^LXI^M9D^M9I^M9R^MXD^MXI^POI^POS^RCD^RCI^RCP^RHD^RHI^SCS^SST^STC^STI^STL^UF2^UF3^UF5^UF6^UH2^UH3^UH5^UH6^UL2^UL3^UL5^UL6^UND^UNI^UNI^UXD^UXI^VFC^VFR^VFS^VRI^ZPI^ZWI^","","","304L SS Threaded Outlet\n316 SS Outlet Knifeblade"
