"AbvMatlDesc__c","Attach__c","CDC_Ext_ID__c","Density__c","Flag__c","HolderPartCode__c","LowerTemp__c","MatlCode__c","Matl__c","OBSOLETE__c","OldAbvMatlDesc__c","OldMatlDesc__c","SealUpperTemp__c","TagMatlDesc__c","UpperTemp__c"
"410","","1","0","","","0","0R3","410 SS","R3","410","410 SS","0","410","0"
"SA516-70 Sec. III","","2","0","","","0","0Z9","ASME SA-516-70 Section III","Z9","SA-516-70 (N stamped)","ASME SA-516-70 (N stamped)","0","SA516-70","0"
"300 Series SS","","3","","","","0","099","300 Series SS","99","300 Series SS","300 Series SS","0","300","0"
"A193-B8 Cl 2","","4","0","","","0","0DQ","ASTM A193-B8 Class 2","DQ","","","0","A193-B8 Cl 2","0"
"SA193-B8S","","5","","","","0","0K4","ASME SA-193-B8S","K4","SA-193-GR-B8S","ASME SA-193-GR-B8S","0","SA193B8S","0"
"A194-8M NACE","","6","","","","0","0CB","ASTM A194-8M NACE","CB","","","0","A1948M","0"
"Polyeth","","7","0.034","","","-320","045","Polyethylene","45","Poly","Polyethylene","150","Polye","150"
"B265-1","","8","","","","0","0J2","ASTM B 265-1","J2","B-265-GR-1","ASTM B-265-GR-1","0","B265-1","0"
"254 SMO SS","","9","","","","0","016","254 SMO SS (F44)","16","254 SMO SS","254 SMO SS (F44)","0","254","0"
"Tealon(R) TF1580","","10","","","","0","0BK","Tealon(R) TF1580","BK","TF1580","Tealon TF1580","0","Tealon(R) TF1580","0"
"AL-6XN(R)","","11","0","","","0","0X9","AL-6XN(R) Alloy","X9","AL-6XN","AL-6XN Alloy","0","AL-6XN(R)","0"
"6061-T4","","12","","","","0","N01","AA 6061-T4","H4","6061-T4","AA 6061-T4","0","6061T4","0"
"Hastelloy C-2000(R)","","13","0","","","0","0N6","Hastelloy C-2000(R)","N6","Hast C-2000","Hastelloy C-2000","0","Hastelloy C-2000(R)","0"
"904L SS","","14","0.287","","","-60","0M9","904L SS","M9","904L","904L SS","400","904L","400"
"3003-0","","15","0","","","0","Y01","AA 3003-0","EH","","","0","3003-0","0"
"Fiberfrax(R)","","16","0.0986","","","0","088","Fiberfrax(R)","88","Fiberfrax","Fiberfrax","0","Fiberfrax(R)","0"
"Alum","Riveted with welded tab","17","0.098","","","-321","001","Aluminum","01","Alum","Aluminum","800","Al","260"
"FDA/USP VI Wht EPDM","","18","0","","","-55","G86","FDA Grade/USP Class VI White EPDM","P9","FDA/USP VI Wht EPDM","FDA Grade/USP Cl VI White EPDM","275","EPDM","275"
"A350-LF3","","19","","","","0","0F7","ASTM A 350-LF3","F7","A-350-LF3","ASTM A-350-GR-LF3","0","A350LF3","0"
"Garlock(R) 5500","","20","0","","","-100","0T3","Garlock(R) 5500","T3","IFG-5500","Garlock IFG-5500","0","Garlock(R) 5500","550"
"Clropren","","21","","","","0","0CM","Chloroprene","CM","","","0","Clrpren","0"
"Mal Iron","","22","","","","0","0F2","Malleable Iron","F2","Malleable Iron","Malleable Iron","0","Iron","0"
"Kalrez(R) 4079","","23","","","","0","A75","Kalrez(R) 4079","BV","Klrz 4079","Kalrez 4079","0","Kalrez(R) 4079","0"
"Belden(R) 87760","","24","0","","","0","0R8","Belden(R) 87760","R8","Bldn 87760","Belden 87760","0","Belden(R) 87760","0"
"PFA","","25","0.0776","","","-321","072","PFA","72","PFA","PFA Teflon","500","PFA","500"
"B148","","26","","","","0","0AG","ASTM B 148","AG","B148","ASTM B148","0","B148","0"
"FEP","","27","0.0776","","","-321","073","FEP","73","FEP","FEP Teflon","400","FEP","400"
"SA350-LF1","","28","","","","0","089","ASME SA-350-LF1","89","SA-350-LF1","ASME SA-350-GR-LF1","0","SA350LF1","0"
"Gylon(R) 3540","","29","0","","","0","EB9","Gylon(R) 3540","U6","Gln 3540","Gylon 3540","0","Gylon(R) 3540","0"
"Phen Rsn","","30","0","","","0","0W4","Phenolic Resin J2027L","W4","Phnolic Rsn J2027L","Phenolic Resin J2027L","0","PhenRsn","0"
"AA319-F","","31","","","","0","V01","AA319-F","CL","","","0","AA319-F","0"
"Blue-Gard(R) 3700","","32","","","","-40","0F1","Blue-Gard(R) 3700","F1","Blugrd 3700","Blue-Gard 3700-Grey","400","Blue-Gard(R) 3700","400"
"Aly 800-HT","","33","0.287","","","0","0F6","Alloy 800-HT","F6","Inc. 800 HT","Incoloy 800 HT","0","Aly800HT","0"
"FDA Wht Buna-N","","34","0","","","-40","C35","FDA Grade White Buna-N","L5","FDA Wht Buna-N","FDA Grade White Buna-N","225","Buna-N","225"
"2011-T3 Al","","35","0","","","0","P01","AA 2011-T3 Aluminum","V9","2011-T3","AA 2011-T3 Aluminum","0","2011Al","0"
"316Ti SS","","36","0.288","","","0","0E6","316Ti SS","E6","316 Ti SS","316 Ti S.S.","0","316Ti","0"
"1100 (B209)","","37","","","","0","301","AA 1100 (ASTM B209)","I6","1100 (B209)","AA 1100 (ASTM B209)","0","1100B209","0"
"A350-7","","38","","","","0","0BU","ASTM A350-7","BU","A350-7","ASME A 350-7","0","A350-7","0"
"Blu PVC","","39","","","","0","0AF","Blue PVC","AF","Blu PVC","Blue PVC","0","PVC","0"
"FDA FEP","","40","0","","","0","A73","FDA Grade FEP","AR","FDA FEP","FDA Grade FEP","0","FEP","0"
"1.4404 (EN 10216-5)","","41","","","","0","0CY","1.4404 (EN 10216-5)","CY","","","0","1.4404 (EN 10216-5)","0"
"Kalrez(R) 6230","","42","0","","","0","B75","Kalrez(R) 6230","R2","Klrz 6230","Kalrez 6230","0","Kalrez(R) 6230","0"
"B265-2","","43","","","","0","0J1","ASTM B 265-2","J1","B-265-GR-2","ASTM B-265-GR-2","0","B265-2","0"
"Blue-Gard(R) 3000","","44","","","","-292","0K3","Blue-Gard(R) 3000","K3","Blu-Grd 3000","Blue-Gard 3000","302","Blue-Gard(R) 3000","302"
"Klngrtop-chm-2000","","45","","","","0","0DF","Klingertop-chem-2000","DF","","","0","Klngrtop-chm-2000","0"
"Polyur","","46","","","","0","0B5","Polyurethane","B5","Polyurethane","Polyurethane","0","Plyur","0"
"317L SS","","47","0.288","","","-320","056","317L SS","56","317L","317L SS","800","317L","800"
"Aly B2","","48","0.332","","","-320","027","Alloy B2","27","Hast B2","Hastelloy B-2","260","AlyB2","260"
"A193-B8M Cl 1","","49","0","","","0","H05","ASTM A 193-B8M Class 1","Y1","A193 B8M","ASTM A193 B8M","0","A193-B8M Cl 1","0"
"6061-O","","50","","","","0","M01","AA 6061-O","H3","6061-O","AA 6061-O","0","6061O","0"
"Spr Stl","","51","0","","","0","0U4","Spring Steel","U4","Spr Stl","Spring Steel","0","Stl","0"
"Aly 400","SpotWelded","52","0.318","","N","-321","002","Alloy 400","02","Mon","Monel","800","Aly400","800"
"Blue-Gard(R) 3200","","53","","","","-40","0B6","Blue-Gard(R) 3200","B6","Blugrd 3200","Blue-Gard 3200-White","400","Blue-Gard(R) 3200","400"
"320 SS","","54","","","","0","057","320 SS","57","320","320 SS","0","320","0"
