"Attribute__c","CDC_Ext_ID__c","CreatedById","CreatedDate","CurrencyIsoCode","Id","IsDeleted","LastActivityDate","LastModifiedById","LastModifiedDate","LastReferencedDate","LastViewedDate","Name","NumVal1__c","NumVal2__c","NumVal3__c","NumVal4__c","OwnerId","SystemModstamp","Text1Val__c","Text2Val__c","Text3Val__c","Text4Val__c","Text5Val__c","Text6Val__c","Text7Val__c","Text8Val__c","Text9Val__c","Text__c","Value__c"
"PNMODEL","","0050v000003a4XQAAY","2020-08-03T11:57:23.000Z","USD","a7v0v0000000RzCAAU","false","","0050v000003nu7JAAQ","2020-10-18T02:36:35.000Z","","","a798A0000005JYB","0.0","0.0","0.0","0.0","0050v000003a4XQAAY","2020-10-18T02:36:35.000Z","1201-FA1","","","","","","","","","1201FA1",""
"GTAGPN","","0050v000003a4XQAAY","2020-08-03T11:57:23.000Z","USD","a7v0v0000000RzDAAU","false","","0050v000003nu7JAAQ","2020-10-18T02:36:35.000Z","","","a798A0000005Ivu","0.0","0.0","0.0","0.0","0050v000003a4XQAAY","2020-10-18T02:36:35.000Z","Groth","1400","Y","Y","Y","","","","","101830, 91334 and 99092",""
"GTAGPN","","0050v000003a4XQAAY","2020-08-03T11:57:23.000Z","USD","a7v0v0000000RzEAAU","false","","0050v000003nu7JAAQ","2020-10-18T02:36:35.000Z","","","a798A0000005Ix7","0.0","0.0","0.0","0.0","0050v000003a4XQAAY","2020-10-18T02:36:35.000Z","Groth","1722B","N","N","N","","","","","101830",""
"OB550","","0050v000003a4XQAAY","2020-08-03T11:57:23.000Z","USD","a7v0v0000000RzFAAU","false","","0050v000003nu7JAAQ","2020-10-18T02:36:35.000Z","","","a798A0000005JWj","0.0","0.0","0.0","0.0","0050v000003a4XQAAY","2020-10-18T02:36:35.000Z","WETTEDCOMP","","","","","","","","","Liquid Dye Penetrant (LP) per ASTM E165, with acceptance",""
"OA04","","0050v000003a4XQAAY","2020-08-03T11:57:23.000Z","USD","a7v0v0000000RzGAAU","false","","0050v000003nu7JAAQ","2020-10-18T02:36:35.000Z","","","a798A0000005JHT","0.0","0.0","0.0","0.0","0050v000003a4XQAAY","2020-10-18T02:36:35.000Z","Free","12","W","Y","-","-","FF","","","Size: 12"" (DN 300) FF",""
"OB630","","0050v000003a4XQAAY","2020-08-03T11:57:23.000Z","USD","a7v0v0000000RzHAAU","false","","0050v000003nu7JAAQ","2020-10-18T02:36:35.000Z","","","a798A0000005JWu","0.0","0.0","0.0","0.0","0050v000003a4XQAAY","2020-10-18T02:36:35.000Z","Y","","","","","","","","","of Cast Carbon Steel Components",""
"PNMODEL","","0050v000003a4XQAAY","2020-08-03T11:57:23.000Z","USD","a7v0v0000000RzIAAU","false","","0050v000003nu7JAAQ","2020-10-18T02:36:35.000Z","","","a798A0000005JY7","0.0","0.0","0.0","0.0","0050v000003a4XQAAY","2020-10-18T02:36:35.000Z","1200A Fiberglass","","","","","","","","","1200AFG",""
"IINO","","0050v000003a4XQAAY","2020-08-03T11:57:23.000Z","USD","a7v0v0000000RzJAAU","false","","0050v000003nu7JAAQ","2020-10-18T02:36:35.000Z","","","a798A0000005J7P","0.0","0.0","0.0","0.0","0050v000003a4XQAAY","2020-10-18T02:36:35.000Z","Groth","1300A","N","N","","","","","","IOM-1200A",""
"IINO","","0050v000003a4XQAAY","2020-08-03T11:57:23.000Z","USD","a7v0v0000000RzKAAU","false","","0050v000003nu7JAAQ","2020-10-18T02:36:35.000Z","","","a798A0000005J7E","0.0","0.0","0.0","0.0","0050v000003a4XQAAY","2020-10-18T02:36:35.000Z","Groth","1260A/7618","N","Y","","","","","","See Engineering (Russian)",""
"OA04","","0050v000003a4XQAAY","2020-08-03T11:57:23.000Z","USD","a7v0v0000000RzLAAU","false","","0050v000003nu7JAAQ","2020-10-18T02:36:35.000Z","","","a798A0000005JHI","0.0","0.0","0.0","0.0","0050v000003a4XQAAY","2020-10-18T02:36:35.000Z","Free","12","A","Y","-","-","RF","","","Size: 12"" (DN 300) RF",""
