"Attribute__c","CDC_Ext_ID__c","CreatedById","CreatedDate","CurrencyIsoCode","Id","IsDeleted","LastActivityDate","LastModifiedById","LastModifiedDate","LastReferencedDate","LastViewedDate","Name","Num1__c","Num2__c","Num3__c","Num4__c","NumOpp1__c","NumOpp2__c","NumOpp3__c","NumOpp4__c","OwnerId","SystemModstamp","Text1__c","Text2__c","Text3__c","Text4__c","Text5__c","Text6__c","Text7__c","Text8__c","Text9__c","TextOpp1__c","TextOpp2__c","TextOpp3__c","TextOpp4__c","TextOpp5__c","TextOpp6__c","TextOpp7__c","TextOpp8__c","TextOpp9__c"
"OB710","","0050v000003a4XQAAY","2020-08-03T11:57:22.000Z","USD","a7w0v0000000deDAAQ","false","","0050v000003iwNrAAI","2020-10-02T14:25:25.000Z","","","a5X8A000000AxtD","","","","","","","","","0050v000003a4XQAAY","2020-10-02T14:25:25.000Z","GPAINT","","","","","","","","","=","","","","","","","",""
"PLANNER","","0050v000003a4XQAAY","2020-08-03T11:57:22.000Z","USD","a7w0v0000000de9AAA","false","","0050v000003iwNrAAI","2020-10-02T14:25:25.000Z","","","a5X8A000000Axtb","","","","","","","","","0050v000003a4XQAAY","2020-10-02T14:25:25.000Z","ASYTYP","","","","","","","","","=","","","","","","","",""
"OB470","","0050v000003a4XQAAY","2020-08-03T11:57:22.000Z","USD","a7w0v0000000deAAAQ","false","","0050v000003iwNrAAI","2020-10-02T14:25:25.000Z","","","a5X8A000000Axsn","","","","","","","","","0050v000003a4XQAAY","2020-10-02T14:25:25.000Z","","","","","","","","","","","","","","","","","",""
"VacPilotLeakLowFact","","0050v000003a4XQAAY","2020-08-03T11:57:22.000Z","USD","a7w0v0000000deBAAQ","false","","0050v000003iwNrAAI","2020-10-02T14:25:25.000Z","","","a5X8A000000Axu0","","","","","","","","","0050v000003a4XQAAY","2020-10-02T14:25:25.000Z","ASYTYP","","","","","","","","","=","","","","","","","",""
"HSNSACCODE","","0050v000003a4XQAAY","2020-08-03T11:57:22.000Z","USD","a7w0v0000000deCAAQ","false","","0050v000003iwNrAAI","2020-10-02T14:25:25.000Z","","","a5X8A000000AxsH","","","","","","","","","0050v000003a4XQAAY","2020-10-02T14:25:25.000Z","ASYTYP","","","","","","","","","=","","","","","","","",""
"OA06","","0050v000003a4XQAAY","2020-08-03T11:57:22.000Z","USD","a7w0v0000000deEAAQ","false","","0050v000003iwNrAAI","2020-10-02T14:25:25.000Z","","","a5X8A000000AxsP","","","","","","","","","0050v000003a4XQAAY","2020-10-02T14:25:25.000Z","PTC","","","","","","","","","=","","","","","","","",""
"GTAG14","","0050v000003a4XQAAY","2020-08-03T11:57:22.000Z","USD","a7w0v0000000deFAAQ","false","","0050v000003iwNrAAI","2020-10-02T14:25:25.000Z","","","a5X8A000000Axs8","","","","","","","","","0050v000003a4XQAAY","2020-10-02T14:25:25.000Z","FASubModel","ATEX","","","","","","","","=","=","","","","","","",""
"OB560","","0050v000003a4XQAAY","2020-08-03T11:57:22.000Z","USD","a7w0v0000000deGAAQ","false","","0050v000003iwNrAAI","2020-10-02T14:25:25.000Z","","","a5X8A000000Axsy","","","","","","","","","0050v000003a4XQAAY","2020-10-02T14:25:25.000Z","LDP","","","","","","","","","=","","","","","","","",""
"OB530","","0050v000003a4XQAAY","2020-08-03T11:57:22.000Z","USD","a7w0v0000000deHAAQ","false","","0050v000003iwNrAAI","2020-10-02T14:25:25.000Z","","","a5X8A000000Axsv","","","","","","","","","0050v000003a4XQAAY","2020-10-02T14:25:25.000Z","PMI","","","","","","","","","=","","","","","","","",""
"VacValveLeakMinFact","","0050v000003a4XQAAY","2020-08-03T11:57:22.000Z","USD","a7w0v0000000deIAAQ","false","","0050v000003iwNrAAI","2020-10-02T14:25:25.000Z","","","a5X8A000000Axu8","","","","","","","","","0050v000003a4XQAAY","2020-10-02T14:25:25.000Z","ASYTYP","","","","","","","","","=","","","","","","","",""
