"CFactor__c","CMethod__c","Flag__c","OP__c"
"0.888642","C1","","83.0"
"0.895504","C1","","84.0"
"0.902323","C1","","85.0"
"0.909101","C1","","86.0"
"0.915837","C1","","87.0"
"0.922533","C1","","88.0"
"0.92919","C1","","89.0"
"0.478063","C1","","35.0"
"0.483751","C1","","35.5"
"0.489385","C1","","36.0"
"0.494967","C1","","36.5"
"0.500497","C1","","37.0"
"0.505978","C1","","37.5"
"0.511411","C1","","38.0"
"0.516797","C1","","38.5"
"0.522137","C1","","39.0"
"0.527433","C1","","39.5"
"0.532686","C1","","40.0"
"0.543067","C1","","41.0"
"0.472318","C1","","34.5"
"0.553288","C1","","42.0"
"0.563357","C1","","43.0"
"0.57328","C1","","44.0"
"0.583065","C1","","45.0"
"0.592718","C1","","46.0"
"0.602243","C1","","47.0"
"0.611647","C1","","48.0"
"0.482323","C3","","17.0"
"0.490857","C3","","18.0"
"0.499281","C3","","19.0"
"0.507599","C3","","20.0"
"0.515816","C3","","21.0"
"0.473673","C3","","16.0"
"0.523935","C3","","22.0"
"0.53196","C3","","23.0"
"0.539895","C3","","24.0"
"0.547742","C3","","25.0"
"0.783767","C3","","60.0"
"0.741195","C3","","53.0"
"0.747388","C3","","54.0"
"0.753543","C3","","55.0"
"0.75966","C3","","56.0"
"0.765741","C3","","57.0"
"0.771785","C3","","58.0"
"0.777794","C3","","59.0"
"0.789707","C3","","61.0"
"0.795613","C3","","62.0"
"0.801486","C3","","63.0"
"0.961905","C1","","94.0"
"0.935808","C1","","90.0"
"0.942387","C1","","91.0"
"0.94893","C1","","92.0"
"0.955435","C1","","93.0"
"0.968339","C1","","95.0"
"0.974739","C1","","96.0"
"0.981104","C1","","97.0"
"1.0","C3","","100.0"
"1.0","C3","","100.1"
"0.7","C4","","10.0"
"0.9","C4","","50.0"
"1.0","C4","","100.0"
"1.0","C4","","100.1"
"1.0","NA","","10.0"
"1.0","NA","","10.1"
"0.563189","C3","","27.0"
"0.570794","C3","","28.0"
"0.578323","C3","","29.0"
"0.585778","C3","","30.0"
"0.555506","C3","","26.0"
"0.593163","C3","","31.0"
"0.600479","C3","","32.0"
"0.607729","C3","","33.0"
"0.620934","C1","","49.0"
"0.630109","C1","","50.0"
"0.639175","C1","","51.0"
"0.648138","C1","","52.0"
"0.657","C1","","53.0"
"0.665766","C1","","54.0"
"0.674438","C1","","55.0"
"0.68302","C1","","56.0"
"0.614913","C3","","34.0"
"0.622035","C3","","35.0"
"0.629096","C3","","36.0"
"0.636098","C3","","37.0"
"0.643042","C3","","38.0"
"0.64993","C3","","39.0"
"0.656763","C3","","40.0"
"0.663544","C3","","41.0"
"0.670272","C3","","42.0"
"0.676949","C3","","43.0"
"0.683578","C3","","44.0"
"0.690158","C3","","45.0"
"0.696691","C3","","46.0"
"0.703178","C3","","47.0"
"0.709621","C3","","48.0"
"0.716019","C3","","49.0"
"0.722375","C3","","50.0"
