"CDC_Ext_ID__c","Flag__c","Lead_Time_10_Override__c","Lead_Time_20_Override__c","Lead_Time_30_Override__c","Lead_Time_40_Override__c","Lead_Time_Item_No__c","Name","NumVal1__c","NumVal2__c","QueueTimeSchedule__c","RunTimeSchedule__c","Text1val__c","Text2val__c","Text3val__c","Text4val__c","Text5val__c","Text6val__c","Text7val__c"
"","","","","","","Base","a2z8A000000YWtb","","","-","POVPWAN02061","1400","02","3","1","-","",""
"","","","","","","Base","a2z8A000000YWtc","","","-","POVPWAN02063","1400","02","3","3","-","",""
"","","","","","","Base","a2z8A000000YWtd","","","-","POVPWAN02065","1400","02","3","5","-","",""
"","","","","","","Base","a2z8A000000YWte","","","-","POVPWAN02061","1400","02","A","1","-","",""
"","","","","","","Base","a2z8A000000YWtf","","","-","POVPWAN02063","1400","02","A","3","-","",""
"","","","","","","Base","a2z8A000000YWtg","","","-","POVPWAN02065","1400","02","A","5","-","",""
"","","","","","","Base","a2z8A000000YWth","","","-","POVPWDN02061","1400","02","C","1","-","",""
"","","","","","","Base","a2z8A000000YWti","","","-","POVPWDN02063","1400","02","C","3","-","",""
"","","","","","","Base","a2z8A000000YWtj","","","-","POVPWDN02065","1400","02","C","5","-","",""
"","","","","","","Base","a2z8A000000YWtk","","","-","POVPWAN02061","1400","02","W","1","-","",""
"","","","","","","Base","a2z8A000000YWtl","","","-","POVPWAN02063","1400","02","W","3","-","",""
"","","","","","","Base","a2z8A000000YWtm","","","-","POVPWAN02065","1400","02","W","5","-","",""
"","","","","","","Base","a2z8A000000YWtn","","","-","POVPWAN02061","1400","03","3","1","-","",""
"","","","","","","Base","a2z8A000000YWto","","","-","POVPWAN02063","1400","03","3","3","-","",""
"","","","","","","Base","a2z8A000000YWtp","","","-","POVPWAN02065","1400","03","3","5","-","",""
"","","","","","","Base","a2z8A000000YWtq","","","-","POVPWAN02061","1400","03","A","1","-","",""
"","","","","","","Base","a2z8A000000YWtr","","","-","POVPWAN02063","1400","03","A","3","-","",""
"","","","","","","Base","a2z8A000000YWts","","","-","POVPWAN02065","1400","03","A","5","-","",""
"","","","","","","Base","a2z8A000000YWtt","","","-","POVPWDN02061","1400","03","C","1","-","",""
"","","","","","","Base","a2z8A000000YWtu","","","-","POVPWDN02063","1400","03","C","3","-","",""
"","","","","","","Base","a2z8A000000YWtv","","","-","POVPWDN02065","1400","03","C","5","-","",""
"","","","","","","Base","a2z8A000000YWtw","","","-","POVPWAN02061","1400","03","W","1","-","",""
"","","","","","","Base","a2z8A000000YWtx","","","-","POVPWAN02063","1400","03","W","3","-","",""
"","","","","","","Base","a2z8A000000YWty","","","-","POVPWAN02065","1400","03","W","5","-","",""
"","","","","","","Base","a2z8A000000YWtz","","","-","POVPWAN02061","1400","04","3","1","-","",""
"","","","","","","Base","a2z8A000000YWu0","","","-","POVPWAN02063","1400","04","3","3","-","",""
"","","","","","","Base","a2z8A000000YWu1","","","-","POVPWAN02065","1400","04","3","5","-","",""
"","","","","","","Base","a2z8A000000YWu2","","","-","POVPWAN02061","1400","04","A","1","-","",""
"","","","","","","Base","a2z8A000000YWu3","","","-","POVPWAN02063","1400","04","A","3","-","",""
"","","","","","","Base","a2z8A000000YWu4","","","-","POVPWAN02065","1400","04","A","5","-","",""
"","","","","","","Base","a2z8A000000YWu5","","","-","POVPWDN02061","1400","04","C","1","-","",""
"","","","","","","Base","a2z8A000000YWu6","","","-","POVPWDN02063","1400","04","C","3","-","",""
"","","","","","","Base","a2z8A000000YWu7","","","-","POVPWDN02065","1400","04","C","5","-","",""
"","","","","","","Base","a2z8A000000YWu8","","","-","POVPWAN02061","1400","04","W","1","-","",""
"","","","","","","Base","a2z8A000000YWu9","","","-","POVPWAN02063","1400","04","W","3","-","",""
"","","","","","","Base","a2z8A000000YWuA","","","-","POVPWAN02065","1400","04","W","5","-","",""
"","","","","","","Base","a2z8A000000YWuB","","","-","POVPWAN02061","1400","06","3","1","-","",""
"","","","","","","Base","a2z8A000000YWuC","","","-","POVPWAN02063","1400","06","3","3","-","",""
"","","","","","","Base","a2z8A000000YWuD","","","-","POVPWAN02065","1400","06","3","5","-","",""
"","","","","","","Base","a2z8A000000YWuE","","","-","POVPWAN02061","1400","06","A","1","-","",""
"","","","","","","Base","a2z8A000000YWuF","","","-","POVPWAN02063","1400","06","A","3","-","",""
"","","","","","","Base","a2z8A000000YWuG","","","-","POVPWAN02065","1400","06","A","5","-","",""
"","","","","","","Base","a2z8A000000YWuH","","","-","POVPWDN02061","1400","06","C","1","-","",""
"","","","","","","Base","a2z8A000000YWuI","","","-","POVPWDN02063","1400","06","C","3","-","",""
"","","","","","","Base","a2z8A000000YWuJ","","","-","POVPWDN02065","1400","06","C","5","-","",""
"","","","","","","Base","a2z8A000000YWuK","","","-","POVPWAN02061","1400","06","W","1","-","",""
"","","","","","","Base","a2z8A000000YWuL","","","-","POVPWAN02063","1400","06","W","3","-","",""
"","","","","","","Base","a2z8A000000YWuM","","","-","POVPWAN02065","1400","06","W","5","-","",""
"","","","","","","Base","a2z8A000000YWuN","","","-","POVPWAN08121","1400","08","3","1","-","",""
"","","","","","","Base","a2z8A000000YWuO","","","-","POVPWAN08123","1400","08","3","3","-","",""
"","","","","","","Base","a2z8A000000YWuP","","","-","POVPWAN08125","1400","08","3","5","-","",""
"","","","","","","Base","a2z8A000000YWuQ","","","-","POVPWAN08121","1400","08","A","1","-","",""
"","","","","","","Base","a2z8A000000YWuR","","","-","POVPWAN08123","1400","08","A","3","-","",""
"","","","","","","Base","a2z8A000000YWuS","","","-","POVPWAN08125","1400","08","A","5","-","",""
"","","","","","","Base","a2z8A000000YWuT","","","-","POVPWDN08121","1400","08","B","1","-","",""
"","","","","","","Base","a2z8A000000YWuU","","","-","POVPWDN08123","1400","08","B","3","-","",""
"","","","","","","Base","a2z8A000000YWuV","","","-","POVPWDN08125","1400","08","B","5","-","",""
"","","","","","","Base","a2z8A000000YWuW","","","-","POVPWDN08121","1400","08","C","1","-","",""
"","","","","","","Base","a2z8A000000YWuX","","","-","POVPWDN08123","1400","08","C","3","-","",""
"","","","","","","Base","a2z8A000000YWuY","","","-","POVPWDN08125","1400","08","C","5","-","",""
"","","","","","","Base","a2z8A000000YWuZ","","","-","POVPWAN08121","1400","08","W","1","-","",""
"","","","","","","Base","a2z8A000000YWua","","","-","POVPWAN08123","1400","08","W","3","-","",""
"","","","","","","Base","a2z8A000000YWub","","","-","POVPWAN08125","1400","08","W","5","-","",""
"","","","","","","Base","a2z8A000000YWuc","","","-","POVPWAN08121","1400","10","3","1","-","",""
"","","","","","","Base","a2z8A000000YWud","","","-","POVPWAN08123","1400","10","3","3","-","",""
"","","","","","","Base","a2z8A000000YWue","","","-","POVPWAN08125","1400","10","3","5","-","",""
"","","","","","","Base","a2z8A000000YWuf","","","-","POVPWAN08121","1400","10","A","1","-","",""
"","","","","","","Base","a2z8A000000YWug","","","-","POVPWAN08123","1400","10","A","3","-","",""
"","","","","","","Base","a2z8A000000YWuh","","","-","POVPWAN08125","1400","10","A","5","-","",""
"","","","","","","Base","a2z8A000000YWui","","","-","POVPWDN08121","1400","10","B","1","-","",""
"","","","","","","Base","a2z8A000000YWuj","","","-","POVPWDN08123","1400","10","B","3","-","",""
"","","","","","","Base","a2z8A000000YWuk","","","-","POVPWDN08125","1400","10","B","5","-","",""
"","","","","","","Base","a2z8A000000YWul","","","-","POVPWDN08121","1400","10","C","1","-","",""
"","","","","","","Base","a2z8A000000YWum","","","-","POVPWDN08123","1400","10","C","3","-","",""
"","","","","","","Base","a2z8A000000YWun","","","-","POVPWDN08125","1400","10","C","5","-","",""
"","","","","","","Base","a2z8A000000YWuo","","","-","POVPWAN08121","1400","10","W","1","-","",""
"","","","","","","Base","a2z8A000000YWup","","","-","POVPWAN08123","1400","10","W","3","-","",""
"","","","","","","Base","a2z8A000000YWuq","","","-","POVPWAN08125","1400","10","W","5","-","",""
"","","","","","","Base","a2z8A000000YWur","","","-","POVPWAN08121","1400","12","3","1","-","",""
"","","","","","","Base","a2z8A000000YWus","","","-","POVPWAN08123","1400","12","3","3","-","",""
"","","","","","","Base","a2z8A000000YWut","","","-","POVPWAN08125","1400","12","3","5","-","",""
"","","","","","","Base","a2z8A000000YWuu","","","-","POVPWAN08121","1400","12","A","1","-","",""
"","","","","","","Base","a2z8A000000YWuv","","","-","POVPWAN08123","1400","12","A","3","-","",""
"","","","","","","Base","a2z8A000000YWuw","","","-","POVPWAN08125","1400","12","A","5","-","",""
"","","","","","","Base","a2z8A000000YWux","","","-","POVPWDN08121","1400","12","B","1","-","",""
"","","","","","","Base","a2z8A000000YWuy","","","-","POVPWDN08123","1400","12","B","3","-","",""
"","","","","","","Base","a2z8A000000YWuz","","","-","POVPWDN08125","1400","12","B","5","-","",""
"","","","","","","Base","a2z8A000000YWv0","","","-","POVPWDN08121","1400","12","C","1","-","",""
"","","","","","","Base","a2z8A000000YWv1","","","-","POVPWDN08123","1400","12","C","3","-","",""
"","","","","","","Base","a2z8A000000YWv2","","","-","POVPWDN08125","1400","12","C","5","-","",""
"","","","","","","Base","a2z8A000000YWv3","","","-","POVPWAN08121","1400","12","W","1","-","",""
"","","","","","","Base","a2z8A000000YWv4","","","-","POVPWAN08123","1400","12","W","3","-","",""
"","","","","","","Base","a2z8A000000YWv5","","","-","POVPWAN08125","1400","12","W","5","-","",""
"","","","","","","Base","a2z8A000000YWv6","","","-","POVPWAN02061","1420","02","3","1","-","",""
"","","","","","","Base","a2z8A000000YWv7","","","-","POVPWAN02063","1420","02","3","3","-","",""
"","","","","","","Base","a2z8A000000YWv8","","","-","POVPWAN02065","1420","02","3","5","-","",""
"","","","","","","Base","a2z8A000000YWv9","","","-","POVPWAN02061","1420","02","A","1","-","",""
"","","","","","","Base","a2z8A000000YWvA","","","-","POVPWAN02063","1420","02","A","3","-","",""
"","","","","","","Base","a2z8A000000YWvB","","","-","POVPWAN02065","1420","02","A","5","-","",""
"","","","","","","Base","a2z8A000000YWvC","","","-","POVPWDN02061","1420","02","C","1","-","",""
"","","","","","","Base","a2z8A000000YWvD","","","-","POVPWDN02063","1420","02","C","3","-","",""
"","","","","","","Base","a2z8A000000YWvE","","","-","POVPWDN02065","1420","02","C","5","-","",""
"","","","","","","Base","a2z8A000000YWvF","","","-","POVPWAN02061","1420","02","W","1","-","",""
"","","","","","","Base","a2z8A000000YWvG","","","-","POVPWAN02063","1420","02","W","3","-","",""
"","","","","","","Base","a2z8A000000YWvH","","","-","POVPWAN02065","1420","02","W","5","-","",""
"","","","","","","Base","a2z8A000000YWvI","","","-","POVPWAN02061","1420","03","3","1","-","",""
"","","","","","","Base","a2z8A000000YWvJ","","","-","POVPWAN02063","1420","03","3","3","-","",""
"","","","","","","Base","a2z8A000000YWvK","","","-","POVPWAN02065","1420","03","3","5","-","",""
"","","","","","","Base","a2z8A000000YWvL","","","-","POVPWAN02061","1420","03","A","1","-","",""
"","","","","","","Base","a2z8A000000YWvM","","","-","POVPWAN02063","1420","03","A","3","-","",""
"","","","","","","Base","a2z8A000000YWvN","","","-","POVPWAN02065","1420","03","A","5","-","",""
"","","","","","","Base","a2z8A000000YWvO","","","-","POVPWDN02061","1420","03","C","1","-","",""
"","","","","","","Base","a2z8A000000YWvP","","","-","POVPWDN02063","1420","03","C","3","-","",""
"","","","","","","Base","a2z8A000000YWvQ","","","-","POVPWDN02065","1420","03","C","5","-","",""
"","","","","","","Base","a2z8A000000YWvR","","","-","POVPWAN02061","1420","03","W","1","-","",""
"","","","","","","Base","a2z8A000000YWvS","","","-","POVPWAN02063","1420","03","W","3","-","",""
"","","","","","","Base","a2z8A000000YWvT","","","-","POVPWAN02065","1420","03","W","5","-","",""
"","","","","","","Base","a2z8A000000YWvU","","","-","POVPWAN02061","1420","04","3","1","-","",""
"","","","","","","Base","a2z8A000000YWvV","","","-","POVPWAN02063","1420","04","3","3","-","",""
"","","","","","","Base","a2z8A000000YWvW","","","-","POVPWAN02065","1420","04","3","5","-","",""
"","","","","","","Base","a2z8A000000YWvX","","","-","POVPWAN02061","1420","04","A","1","-","",""
"","","","","","","Base","a2z8A000000YWvY","","","-","POVPWAN02063","1420","04","A","3","-","",""
"","","","","","","Base","a2z8A000000YWvZ","","","-","POVPWAN02065","1420","04","A","5","-","",""
"","","","","","","Base","a2z8A000000YWva","","","-","POVPWDN02061","1420","04","C","1","-","",""
"","","","","","","Base","a2z8A000000YWvb","","","-","POVPWDN02063","1420","04","C","3","-","",""
"","","","","","","Base","a2z8A000000YWvc","","","-","POVPWDN02065","1420","04","C","5","-","",""
"","","","","","","Base","a2z8A000000YWvd","","","-","POVPWAN02061","1420","04","W","1","-","",""
"","","","","","","Base","a2z8A000000YWve","","","-","POVPWAN02063","1420","04","W","3","-","",""
"","","","","","","Base","a2z8A000000YWvf","","","-","POVPWAN02065","1420","04","W","5","-","",""
"","","","","","","Base","a2z8A000000YWvg","","","-","POVPWAN02061","1420","06","3","1","-","",""
"","","","","","","Base","a2z8A000000YWvh","","","-","POVPWAN02063","1420","06","3","3","-","",""
"","","","","","","Base","a2z8A000000YWvi","","","-","POVPWAN02065","1420","06","3","5","-","",""
"","","","","","","Base","a2z8A000000YWvj","","","-","POVPWAN02061","1420","06","A","1","-","",""
"","","","","","","Base","a2z8A000000YWvk","","","-","POVPWAN02063","1420","06","A","3","-","",""
"","","","","","","Base","a2z8A000000YWvl","","","-","POVPWAN02065","1420","06","A","5","-","",""
"","","","","","","Base","a2z8A000000YWvm","","","-","POVPWDN02061","1420","06","B","1","-","",""
"","","","","","","Base","a2z8A000000YWvn","","","-","POVPWDN02063","1420","06","B","3","-","",""
"","","","","","","Base","a2z8A000000YWvo","","","-","POVPWDN02065","1420","06","B","5","-","",""
"","","","","","","Base","a2z8A000000YWvp","","","-","POVPWDN02061","1420","06","C","1","-","",""
"","","","","","","Base","a2z8A000000YWvq","","","-","POVPWDN02063","1420","06","C","3","-","",""
"","","","","","","Base","a2z8A000000YWvr","","","-","POVPWDN02065","1420","06","C","5","-","",""
"","","","","","","Base","a2z8A000000YWvs","","","-","POVPWAN02061","1420","06","W","1","-","",""
"","","","","","","Base","a2z8A000000YWvt","","","-","POVPWAN02063","1420","06","W","3","-","",""
"","","","","","","Base","a2z8A000000YWvu","","","-","POVPWAN02065","1420","06","W","5","-","",""
"","","","","","","Base","a2z8A000000YWvv","","","-","POVPWAN08121","1420","08","3","1","-","",""
"","","","","","","Base","a2z8A000000YWvw","","","-","POVPWAN08123","1420","08","3","3","-","",""
