CDC_Ext_ID__c,Descr__c,Flag__c,Name,NumVal1__c,NumVal2__c,Operation__c,Outside_Operation_Item__c,Standard_Operation_ID__c,Text1Val__c,Text2Val__c,Text3Val__c,Text4Val__c,Text5Val__c,Text6Val__c,Text7Val__c
,Pack & Final Shipping,,a5M8A0000007By3,,,800,[AssyPartNo],PACK,,,,,,,
,Paint - Tag,,a5M8A0000006f9c,,,180,,PAINT-TAG,1202-FA1,06,Y,,,,
,Paint - Tag,,a5M8A0000006f9d,,,180,,PAINT-TAG,1202-FA1,08,Y,,,,
,Paint - Tag,,a5M8A0000006f9e,,,180,,PAINT-TAG,1202-FA1,10,Y,,,,
,Paint - Tag,,a5M8A0000006f9f,,,180,,PAINT-TAG,1202-FA1,12,Y,,,,
,Paint - Tag,,a5M8A0000006f9g,,,180,,PAINT-TAG,1203-FA1,02,Y,,,,
,Paint - Tag,,a5M8A0000006f9h,,,180,,PAINT-TAG,1203-FA1,03,Y,,,,
,Paint - Tag,,a5M8A0000006f9i,,,180,,PAINT-TAG,1203-FA1,04,Y,,,,
,Paint - Tag,,a5M8A0000006f9j,,,180,,PAINT-TAG,1203-FA1,06,Y,,,,
,Paint - Tag,,a5M8A0000006f9k,,,180,,PAINT-TAG,1203-FA1,08,Y,,,,
,Paint - Tag,,a5M8A0000006f9l,,,180,,PAINT-TAG,1203-FA1,10,Y,,,,
,Paint - Tag,,a5M8A0000006f9m,,,180,,PAINT-TAG,1203-FA1,12,Y,,,,
,Paint - Tag,,a5M8A0000006f9n,,,180,,PAINT-TAG,1300A-FA1,02,Y,,,,
,Paint - Tag,,a5M8A0000006f9o,,,180,,PAINT-TAG,1300A-FA1,03,Y,,,,
,Paint - Tag,,a5M8A0000006f9p,,,180,,PAINT-TAG,1300A-FA1,04,Y,,,,
,Paint - Tag,,a5M8A0000006f9q,,,180,,PAINT-TAG,1300A-FA1,06,Y,,,,
,Paint - Tag,,a5M8A0000006f9r,,,180,,PAINT-TAG,1300A-FA1,08,Y,,,,
,Paint - Tag,,a5M8A0000006f9s,,,180,,PAINT-TAG,1300A-FA1,10,Y,,,,
,Paint - Tag,,a5M8A0000006f9t,,,180,,PAINT-TAG,1300A-FA1,12,Y,,,,
,Paint - Tag,,a5M8A0000006f9u,,,180,,PAINT-TAG,1301A-FA1,02,Y,,,,
,Paint - Tag,,a5M8A0000006f9v,,,180,,PAINT-TAG,1301A-FA1,03,Y,,,,
,Paint - Tag,,a5M8A0000006f9w,,,180,,PAINT-TAG,1301A-FA1,04,Y,,,,
,Paint - Tag,,a5M8A0000006f9x,,,180,,PAINT-TAG,1301A-FA1,06,Y,,,,
,Paint - Tag,,a5M8A0000006f9y,,,180,,PAINT-TAG,1301A-FA1,08,Y,,,,
,Paint - Tag,,a5M8A0000006f9z,,,180,,PAINT-TAG,1301A-FA1,10,Y,,,,
,Paint - Tag,,a5M8A0000006fA0,,,180,,PAINT-TAG,1301A-FA1,12,Y,,,,
,Paint - Tag,,a5M8A0000006fA1,,,180,,PAINT-TAG,2300A-FA1,02,Y,,,,
,Paint - Tag,,a5M8A0000006fA2,,,180,,PAINT-TAG,2300A-FA1,03,Y,,,,
,Paint - Tag,,a5M8A0000006fA3,,,180,,PAINT-TAG,2300A-FA1,04,Y,,,,
,Paint - Tag,,a5M8A0000006fA4,,,180,,PAINT-TAG,2300A-FA1,06,Y,,,,
