"CDC_Ext_ID__c","Flag__c","Name","Num1__c","Num2__c","NumOpp1__c","NumOpp2__c","Operation__c","Text1__c","Text2__c","Text3__c","Text4__c","Text5__c","Text6__c","Text7__c","TextOpp1__c","TextOpp2__c","TextOpp3__c","TextOpp4__c","TextOpp5__c","TextOpp6__c","TextOpp7__c"
"","","a5O8A000000RbMo","","","","","800","","","","","","","","","","","","","",""
"","","a5O8A000000Bjh2","","","","","4","ASYTYP","","","","","","","=","","","","","",""
"","","a5O8A000000Bjh3","","","","","20","PMI","","","","","","","=","","","","","",""
"","","a5O8A000000Bjh4","","","","","40","VISCASTEXAM","","","","","","","=","","","","","",""
"","","a5O8A000000Bjh5","","","","","100","ASYTYP","","","","","","","=","","","","","",""
"","","a5O8A000000Bjh6","","","","","110","PTC","SZC","GPTYPE","MCBODY","MCSEAT","","","=","=","=","=","=","",""
"","","a5O8A000000Bjh7","","","","","120","PTC","SZC","VENDORPAINT","","","","","=","=","=","","","",""
"","","a5O8A000000Bjh8","","","","","130","PTC","SZC","VENDORPAINT","","","","","=","=","=","","","",""
"","","a5O8A000000Bjh9","","","","","140","VENDORPAINT","","","","","","","=","","","","","",""
"","","a5O8A000000BjhA","","","","","150","GPAINT","","","","","","","=","","","","","",""
"","","a5O8A000000BjhB","","","","","160","PTC","SZC","VENDORPAINT","","","","","=","=","=","","","",""
"","","a5O8A000000BjhC","","","","","170","PTC","SZC","INHOUSEPAINT","","","","","=","=","=","","","",""
"","","a5O8A000000BjhD","","","","","180","PTC","SZC","INHOUSEPAINT","","","","","=","=","=","","","",""
"","","a5O8A000000BjhE","","","","","190","PTC","","","","","","","=","","","","","",""
